<setting>
1920,1080,500,400,0,225,-275,-225,275,-225
</setting>
<timedatas>
0,01_1_sad,01_2_happy,01_3_neutral,2-1,2020-02-17 15:19:33,254,1385,1752,6761,9778
1,3,-31.2,-46.1,2020-02-17 15:19:47,841
1,3,-35.6,-46.9,2020-02-17 15:19:47,873
1,3,-34.1,-44.8,2020-02-17 15:19:47,906
1,3,-108,-114.9,2020-02-17 15:19:47,938
1,3,-111.5,-114.4,2020-02-17 15:19:47,971
1,3,-117.4,-113.3,2020-02-17 15:19:48,4
1,3,-118.6,-113,2020-02-17 15:19:48,36
1,3,-118.4,-113.5,2020-02-17 15:19:48,69
1,3,-116.8,-115.4,2020-02-17 15:19:48,101
1,3,-159.1,-173.9,2020-02-17 15:19:48,134
1,3,-163.1,-168.6,2020-02-17 15:19:48,167
1,3,-166.4,-164.6,2020-02-17 15:19:48,199
1,3,-166.6,-164.7,2020-02-17 15:19:48,232
1,3,-167.4,-165.3,2020-02-17 15:19:48,264
1,3,-169.2,-163.5,2020-02-17 15:19:48,313
1,3,-171.5,-159.5,2020-02-17 15:19:48,330
1,3,-171.3,-157.3,2020-02-17 15:19:48,379
1,3,-170.5,-155,2020-02-17 15:19:48,411
1,3,-171.1,-151.5,2020-02-17 15:19:48,444
1,3,-172.3,-148.4,2020-02-17 15:19:48,476
1,3,-173.6,-147.9,2020-02-17 15:19:48,509
